ID,Title,Date,"Parent Product ID",Sku,Price,"Regular Price","Stock Status",Stock,"Product Visibility","Product Type","Categorías de productos",Status,Slug,Backorders,"Tax Status","Tax Class","Product Image Gallery","Variation Description","Wc Rating Count","Wc Review Count","Wc Average Rating","Image URL","Image Filename","Image Path"
3095,,20180311,0,,,,instock,,visible,variable,"Sin categoría",publish,3095,no,taxable,parent,,,a:0:{},0,0,,,
3096,,20180311,0,,380.79,380.79,instock,,visible,variable,"Sin categoría",publish,3096,no,taxable,parent,,,a:0:{},0,0,,,
3097,,20180311,0,,699.64,699.64,instock,,visible,variable,"Sin categoría",publish,3097,no,taxable,parent,,,a:0:{},0,0,,,
3098,,20180311,0,,968.79,968.79,instock,,visible,variable,"Sin categoría",publish,3098,no,taxable,parent,,,a:0:{},0,0,,,
3099,,20180311,0,,1450.40,1450.40,instock,,visible,variable,"Sin categoría",publish,3099,no,taxable,parent,,,a:0:{},0,0,,,
5590,"B2 Tuerca Giratoria",20180323,0,B2,1.00,,instock,,visible,variable,"Conexiones en Bronce y Aluminio",publish,b2-tuerca-giratoria,no,taxable,standard,,,a:0:{},0,0,http://localhost/wordpress/wp-content/uploads/2018/03/B2-FIJO-e1494550025606.png|http://localhost/wordpress/wp-content/uploads/2018/03/B2-Tuerca-Giratoria-C.jpg,B2-FIJO-e1494550025606.png|B2-Tuerca-Giratoria-C.jpg,"C:\xampp\htdocs\wordpress/wp-content/uploads/2018/03/B2-FIJO-e1494550025606.png|C:\xampp\htdocs\wordpress/wp-content/uploads/2018/03/B2-Tuerca-Giratoria-C.jpg"
5591,"B2 Tuerca Giratoria - 1/4 x 1/4",20180323,5590,B2TG0404BR,1.00,1.00,instock,1,visible,variable,"Conexiones en Bronce y Aluminio",publish,b2-tuerca-giratoria-b2tg0404br,no,taxable,parent,,"Ancho (A)  1/4
Largo  (B)  1/4
Material	Bronce
Color	Dorado
Acabado	Brillo
No. de piezas	10",a:0:{},0,0,http://localhost/wordpress/wp-content/uploads/2018/03/EFREF-e1521854504313.jpg,EFREF-e1521854504313.jpg,"C:\xampp\htdocs\wordpress/wp-content/uploads/2018/03/EFREF-e1521854504313.jpg"
5592,"B2 Tuerca Giratoria - 1/4 x 5/16",20180323,5590,B2TG0406BR,2.00,2.00,instock,2,visible,variable,"Conexiones en Bronce y Aluminio",publish,b2-tuerca-giratoria-b2tg0406br,no,taxable,parent,,"Ancho (A) 1/4
Largo  (B) 5/16
Material	Bronce
Color	Dorado
Acabado	Brillo
No. de piezas	10",a:0:{},0,0,http://localhost/wordpress/wp-content/uploads/2018/03/EFREF-e1521854504313.jpg,EFREF-e1521854504313.jpg,"C:\xampp\htdocs\wordpress/wp-content/uploads/2018/03/EFREF-e1521854504313.jpg"
5593,"B2 Tuerca Giratoria - 3/8 x 3/8",20180323,5590,B2TG0606BR,3.00,3.00,instock,3,visible,variable,"Conexiones en Bronce y Aluminio",publish,b2-tuerca-giratoria-b2tg0606br,no,taxable,parent,,"Ancho (A) 3/8
Largo  (B) 3/8
Material	Bronce
Color	Dorado
Acabado	Brillo
No. de piezas	10",a:0:{},0,0,http://localhost/wordpress/wp-content/uploads/2018/03/EFREF-e1521854504313.jpg,EFREF-e1521854504313.jpg,"C:\xampp\htdocs\wordpress/wp-content/uploads/2018/03/EFREF-e1521854504313.jpg"
5594,"B2 Tuerca Giratoria - 1/2 x 1/2",20180323,5590,B2TG0808BR,4.00,4.00,instock,4,visible,variable,"Conexiones en Bronce y Aluminio",publish,b2-tuerca-giratoria-b2tg0808br,no,taxable,parent,,"Ancho (A) 1/2
Largo  (B) 1/2
Material	Bronce
Color	Dorado
Acabado	Brillo
No. de piezas	10",a:0:{},0,0,http://localhost/wordpress/wp-content/uploads/2018/03/EFREF-e1521854504313.jpg,EFREF-e1521854504313.jpg,"C:\xampp\htdocs\wordpress/wp-content/uploads/2018/03/EFREF-e1521854504313.jpg"
